order_id,customer_id,product_id,category,price,quantity,order_date,country,payment_method,rating,returned,revenue
74,2175,586,Clothing,50.47,3,2024-06-26,Germany,UPI,5.0,0,151.41
75,1092,340,Home,49.89,2,2023-08-31,UK,PayPal,1.0,0,99.78
76,1759,469,Sports,101.87,1,2023-01-29,India,UPI,3.0,0,101.87
77,2248,330,Electronics,22.9,3,2023-10-28,India,PayPal,3.0,0,68.7
78,2685,206,Electronics,39.26,4,2024-04-27,India,PayPal,1.0,0,157.04
79,3404,285,Beauty,54.21,3,2024-01-11,Germany,Credit Card,1.0,0,162.63
80,1931,254,Books,31.1,1,2021-06-15,Australia,Credit Card,3.0,0,31.1
81,3529,725,Home,179.77,1,2024-06-14,Australia,UPI,3.0,0,179.77
82,3627,686,Clothing,71.62,1,2023-05-16,Germany,COD,4.0,0,71.62
83,4963,784,Electronics,15.59,3,2021-08-06,India,Debit Card,1.0,0,46.77
84,2243,508,Sports,23.39,5,2023-07-12,India,UPI,4.0,0,116.95
85,1481,299,Home,81.05,2,2022-05-01,USA,UPI,4.0,0,162.1
86,2043,621,Beauty,64.31,1,2021-11-06,USA,UPI,4.0,0,64.31
87,3971,304,Books,60.0,5,2022-03-03,Canada,COD,5.0,0,300.0
88,4588,755,Beauty,78.18,4,2024-08-28,USA,COD,3.0,1,312.72
89,1787,686,Electronics,11.62,3,2022-02-21,Canada,Credit Card,3.0,0,34.86
90,1033,719,Sports,202.45,3,2022-12-20,UK,UPI,2.0,0,607.35
91,4195,445,Electronics,259.91,5,2023-09-14,Canada,COD,1.0,1,1299.55
92,2310,578,Books,47.01,1,2022-07-29,India,Debit Card,2.0,1,47.01
93,4769,274,Clothing,56.28,4,2023-06-02,Germany,UPI,3.0,1,225.12
94,3789,378,Home,103.03,5,2023-06-04,USA,Debit Card,4.0,0,515.15
95,2865,260,Clothing,77.89,3,2021-03-26,Australia,Debit Card,5.0,0,233.67
96,1989,412,Clothing,39.37,4,2021-12-19,UK,Credit Card,5.0,1,157.48
97,3001,752,Books,72.35,3,2024-06-04,UK,PayPal,1.0,0,217.05
98,2919,427,Sports,65.41,1,2024-02-15,Germany,UPI,3.0,0,65.41
99,2439,242,Sports,35.85,1,2021-02-22,India,Credit Card,5.0,0,35.85
100,2154,530,Clothing,38.06,5,2023-06-14,Australia,COD,4.0,0,190.3
101,2107,429,Beauty,148.46,5,2023-08-16,Australia,Credit Card,4.0,0,742.3
102,1402,468,Sports,51.58,4,2023-12-05,Canada,UPI,2.0,0,206.32
103,3069,346,Home,50.29,3,2022-01-25,Germany,COD,,0,150.87
104,2655,399,Home,210.58,3,2021-05-05,USA,PayPal,5.0,0,631.74
105,4651,205,Clothing,65.11,5,2021-09-28,Australia,Debit Card,5.0,1,325.55
106,3251,641,Home,62.92,4,2024-01-13,USA,Credit Card,3.0,0,251.68
107,2978,624,Home,27.41,4,2024-06-03,Australia,Credit Card,5.0,0,109.64
108,1047,651,Home,14.11,4,2023-09-17,USA,UPI,3.0,0,56.44
109,1784,533,Electronics,28.26,3,2021-08-28,USA,Credit Card,5.0,0,84.78
110,3572,445,Sports,185.27,1,2022-11-24,Canada,Credit Card,4.0,0,185.27
111,1349,353,Books,59.94,2,2023-01-04,UK,Debit Card,2.0,0,119.88
112,3155,536,Sports,14.06,2,2023-05-11,USA,Credit Card,2.0,0,28.12
113,4817,291,Books,109.64,5,2021-03-29,USA,COD,3.0,1,548.2
114,1393,503,Electronics,121.52,1,2023-09-24,UK,UPI,3.0,1,121.52
115,1844,710,Clothing,102.68,5,2022-09-10,Germany,Debit Card,3.0,0,513.4
116,2859,436,Sports,49.57,4,2022-12-05,USA,PayPal,3.0,0,198.28
117,1622,493,Home,30.51,3,2023-07-14,Australia,UPI,4.0,0,91.53
118,1654,648,Beauty,8.09,5,2024-05-14,India,Debit Card,,0,40.45
119,1636,676,Electronics,62.78,3,2023-04-08,Canada,COD,3.0,1,188.34
120,1276,460,Beauty,21.55,4,2022-02-17,USA,UPI,4.0,0,86.2
121,1309,372,Beauty,22.12,5,2022-09-17,India,COD,4.0,0,110.6
122,3044,740,Beauty,47.15,4,2021-01-12,Canada,PayPal,5.0,0,188.6
123,2935,788,Beauty,153.25,1,2023-09-21,Australia,COD,,0,153.25
124,1827,232,Clothing,47.13,5,2024-03-10,Australia,Credit Card,4.0,0,235.65
125,3083,284,Sports,47.03,4,2022-04-16,Australia,UPI,4.0,0,188.12
126,2840,434,Beauty,38.36,3,2022-02-06,India,PayPal,,1,115.08
127,3308,538,Clothing,77.65,5,2024-08-20,UK,Debit Card,3.0,0,388.25
128,2835,573,Books,128.5,3,2022-07-31,UK,COD,2.0,0,385.5
129,3504,657,Beauty,23.12,1,2021-07-05,UK,Debit Card,3.0,0,23.12
130,2498,763,Electronics,126.8,1,2024-08-01,Australia,PayPal,5.0,0,126.8
131,2786,766,Sports,106.17,4,2021-12-31,Germany,UPI,5.0,0,424.68
132,4638,550,Clothing,22.51,4,2024-04-25,Canada,Debit Card,4.0,0,90.04
133,4627,331,Books,42.8,4,2023-12-23,Germany,UPI,3.0,0,171.2
134,4055,305,Books,96.89,5,2024-10-02,India,Debit Card,4.0,0,484.45
135,4287,372,Sports,131.74,1,2022-09-29,Canada,Debit Card,3.0,0,131.74
136,1973,210,Books,52.73,1,2023-05-18,Canada,Debit Card,5.0,0,52.73
137,3482,734,Sports,14.35,3,2021-03-16,Germany,UPI,3.0,0,43.05
138,1039,253,Books,74.06,4,2023-08-14,Germany,PayPal,4.0,0,296.24
139,2155,470,Home,196.3,1,2024-10-07,UK,Credit Card,2.0,0,196.3
140,4485,600,Beauty,104.1,4,2021-10-09,Germany,PayPal,2.0,0,416.4
141,2932,456,Home,107.16,5,2021-08-06,Australia,PayPal,5.0,0,535.8
142,1460,398,Books,24.76,5,2022-06-02,Germany,UPI,3.0,1,123.8
143,3895,201,Sports,89.38,4,2022-06-17,Canada,COD,5.0,0,357.52
144,4869,555,Books,36.5,4,2022-12-13,USA,PayPal,4.0,0,146.0
145,4720,542,Home,98.15,1,2021-01-20,UK,COD,4.0,0,98.15
146,1566,573,Books,15.88,2,2023-04-22,Australia,Credit Card,,0,31.76
147,1678,689,Books,62.44,2,2021-12-15,USA,COD,5.0,0,124.88
148,1373,245,Electronics,59.11,3,2024-03-11,Canada,COD,5.0,0,177.33
149,3758,460,Beauty,135.93,5,2021-06-05,UK,Credit Card,4.0,1,679.65
150,4733,513,Clothing,277.19,4,2023-12-22,UK,UPI,3.0,0,1108.76
151,1044,572,Beauty,22.81,4,2024-06-09,UK,Debit Card,5.0,0,91.24
152,4035,414,Clothing,79.98,5,2023-07-22,Australia,PayPal,2.0,0,399.9
153,1647,397,Electronics,38.49,5,2023-05-06,USA,Credit Card,4.0,0,192.45
154,4793,347,Electronics,143.03,4,2024-04-02,Australia,UPI,5.0,1,572.12
155,3026,650,Beauty,41.16,3,2022-09-11,India,PayPal,5.0,0,123.48
156,1495,302,Books,20.4,1,2021-07-10,Canada,Debit Card,1.0,0,20.4
157,1197,657,Home,117.75,4,2021-08-18,Germany,Credit Card,3.0,0,471.0
158,3148,387,Books,33.87,3,2023-07-02,Canada,Credit Card,4.0,0,101.61
159,4252,795,Home,150.67,3,2022-04-30,USA,Credit Card,4.0,0,452.01
160,2001,588,Books,103.6,5,2024-05-10,USA,UPI,1.0,0,518.0
161,1169,221,Sports,19.4,1,2022-10-26,Australia,Credit Card,2.0,0,19.4
162,1029,242,Sports,53.16,1,2023-10-23,UK,COD,5.0,0,53.16
163,3330,673,Home,71.12,1,2021-07-10,UK,Credit Card,1.0,1,71.12
164,2856,524,Books,77.34,2,2022-02-07,Germany,PayPal,1.0,0,154.68
165,4836,593,Electronics,66.1,4,2022-11-19,USA,COD,5.0,0,264.4
166,3238,607,Books,92.6,5,2023-03-23,India,COD,2.0,0,463.0
167,1726,259,Clothing,59.22,5,2022-07-24,USA,Debit Card,4.0,0,296.1
168,2762,666,Home,92.04,2,2022-08-03,USA,UPI,3.0,0,184.08
169,4084,271,Clothing,120.31,1,2024-04-24,USA,Debit Card,4.0,1,120.31
170,1646,743,Electronics,53.46,4,2021-08-24,USA,UPI,3.0,0,213.84
171,4560,360,Sports,93.48,3,2023-09-06,UK,Debit Card,4.0,0,280.44
172,2954,684,Beauty,43.94,3,2023-02-09,UK,Debit Card,3.0,0,131.82
173,1443,249,Beauty,59.77,2,2022-07-07,USA,Credit Card,4.0,0,119.54
174,1106,594,Sports,178.64,2,2022-02-21,USA,UPI,2.0,0,357.28
175,4694,731,Books,81.16,2,2022-09-15,Australia,COD,3.0,0,162.32
176,2908,423,Clothing,34.31,1,2023-03-22,USA,Debit Card,,0,34.31
177,3545,677,Sports,133.26,4,2022-04-12,USA,UPI,4.0,0,533.04
178,2373,670,Clothing,210.77,3,2024-02-15,UK,PayPal,3.0,0,632.31
179,1486,701,Home,23.34,1,2023-01-20,India,PayPal,1.0,0,23.34
180,2258,310,Sports,33.2,3,2021-08-12,Canada,PayPal,,1,99.6
181,3577,399,Clothing,36.1,1,2022-04-06,India,Debit Card,1.0,0,36.1
182,4077,440,Home,45.35,1,2024-03-24,Canada,COD,4.0,0,45.35
183,3895,526,Books,14.94,4,2024-10-15,Canada,Credit Card,1.0,0,59.76
184,1049,751,Clothing,23.66,2,2023-12-02,UK,Credit Card,1.0,0,47.32
185,2462,224,Books,123.79,4,2023-06-13,Germany,Debit Card,4.0,0,495.16
186,2356,289,Electronics,174.07,4,2022-08-12,Canada,PayPal,4.0,0,696.28
187,2641,786,Clothing,123.01,3,2023-05-03,Canada,UPI,5.0,0,369.03
188,2000,380,Electronics,40.0,1,2021-09-06,UK,Debit Card,1.0,0,40.0
189,1988,339,Sports,10.1,3,2023-06-13,Germany,COD,3.0,0,30.3
190,1182,455,Clothing,40.93,1,2022-12-14,Germany,Credit Card,5.0,0,40.93
191,2711,216,Sports,31.88,1,2021-05-20,India,Debit Card,1.0,1,31.88
192,3469,621,Clothing,248.65,1,2024-03-27,Australia,UPI,4.0,0,248.65
193,3647,676,Beauty,7.99,2,2021-09-25,Germany,Credit Card,3.0,0,15.98
194,2685,208,Sports,131.95,2,2024-05-21,India,Debit Card,4.0,0,263.9
195,4332,507,Electronics,49.48,2,2021-06-05,Canada,UPI,5.0,0,98.96
196,3523,515,Clothing,51.41,1,2023-05-11,USA,COD,4.0,0,51.41
197,3636,616,Books,113.33,1,2023-03-07,UK,UPI,3.0,0,113.33
198,1233,230,Beauty,64.34,3,2023-10-22,India,UPI,1.0,1,193.02
199,3379,716,Beauty,22.64,3,2022-07-10,Australia,Debit Card,4.0,0,67.92
200,3822,314,Sports,73.61,5,2022-08-11,Canada,UPI,2.0,0,368.05
201,4960,677,Electronics,79.05,5,2022-12-07,Canada,UPI,5.0,0,395.25
202,3273,395,Beauty,12.77,1,2021-01-18,USA,PayPal,,0,12.77
203,1469,214,Electronics,41.67,4,2022-09-01,UK,UPI,3.0,0,166.68
204,1085,323,Clothing,16.7,3,2023-10-04,UK,Credit Card,3.0,0,50.1
205,2694,224,Home,77.84,3,2023-06-06,India,COD,4.0,0,233.52
206,4947,270,Books,81.73,3,2023-08-09,UK,PayPal,2.0,1,245.19
207,3524,218,Books,39.67,3,2024-10-27,Canada,Debit Card,2.0,0,119.01
208,2848,667,Beauty,129.32,1,2021-07-12,USA,UPI,2.0,0,129.32
209,2843,580,Home,53.74,4,2021-09-02,Germany,Debit Card,4.0,0,214.96
210,3295,404,Books,107.95,2,2021-12-07,USA,COD,5.0,0,215.9
211,2207,213,Books,213.63,5,2021-03-27,Australia,Debit Card,4.0,0,1068.15
212,4705,433,Electronics,76.48,3,2022-02-02,USA,Debit Card,4.0,0,229.44
213,4980,358,Clothing,101.3,3,2023-12-09,UK,Credit Card,5.0,0,303.9
214,2100,499,Clothing,75.72,2,2024-07-20,India,Credit Card,4.0,0,151.44
215,4949,423,Clothing,59.11,2,2024-06-19,India,UPI,3.0,0,118.22
216,1932,577,Books,49.84,5,2022-06-29,India,COD,2.0,0,249.2
217,2735,341,Electronics,55.05,4,2023-10-22,Canada,Credit Card,4.0,0,220.2
218,3133,252,Books,126.51,3,2022-06-03,Canada,COD,,0,379.53
219,2722,503,Electronics,20.7,2,2021-03-08,USA,COD,4.0,0,41.4
220,2833,424,Books,112.78,5,2022-12-05,USA,UPI,1.0,0,563.9
221,2254,616,Books,104.17,2,2022-07-03,USA,UPI,1.0,0,208.34
222,1911,492,Electronics,67.08,4,2022-06-10,USA,UPI,3.0,0,268.32
223,4883,200,Clothing,140.56,1,2024-06-10,Australia,PayPal,5.0,0,140.56
224,4387,402,Clothing,149.08,5,2023-12-28,India,PayPal,3.0,0,745.4
225,1850,687,Sports,119.28,4,2021-01-27,Germany,UPI,2.0,0,477.12
226,1575,732,Clothing,154.36,1,2023-02-01,Australia,UPI,2.0,0,154.36
227,2948,472,Sports,72.24,3,2022-03-13,Germany,Debit Card,3.0,0,216.72
228,3448,208,Clothing,33.85,1,2023-12-03,USA,Credit Card,5.0,0,33.85
229,4973,379,Sports,115.01,1,2022-03-27,Canada,UPI,5.0,1,115.01
230,4107,602,Beauty,87.49,5,2022-11-24,Australia,Debit Card,,0,437.45
231,4661,316,Books,87.8,1,2024-01-18,UK,UPI,,0,87.8
232,1288,746,Beauty,84.92,1,2022-09-20,UK,PayPal,4.0,0,84.92
233,3677,677,Home,297.43,4,2021-08-01,Canada,Credit Card,3.0,1,1189.72
234,3775,219,Electronics,64.6,3,2024-05-21,Australia,COD,5.0,0,193.8
235,4039,652,Books,69.45,5,2023-06-15,UK,PayPal,3.0,0,347.25
236,1161,637,Beauty,17.83,3,2023-01-22,USA,COD,4.0,0,53.49
237,1045,715,Sports,22.34,5,2021-08-02,Australia,Credit Card,5.0,0,111.7
238,2960,315,Home,37.42,5,2022-06-25,India,COD,3.0,0,187.1
239,2652,307,Sports,60.44,3,2021-01-17,India,PayPal,,0,181.32
240,1475,562,Books,111.66,2,2024-04-09,Canada,Credit Card,3.0,0,223.32
241,3446,661,Clothing,55.1,1,2024-04-24,India,Credit Card,3.0,0,55.1
242,3093,595,Electronics,20.88,3,2024-01-17,UK,UPI,2.0,0,62.64
243,1873,475,Electronics,57.68,4,2023-11-03,UK,Debit Card,3.0,0,230.72
244,4114,515,Home,168.94,1,2023-05-08,Australia,COD,3.0,0,168.94
245,3912,373,Beauty,139.17,2,2024-05-10,UK,COD,4.0,0,278.34
246,1290,564,Clothing,70.56,2,2023-01-20,Germany,Credit Card,4.0,0,141.12
247,4167,548,Electronics,123.88,4,2021-09-04,India,PayPal,4.0,0,495.52
248,4952,741,Books,96.86,1,2024-01-27,USA,Credit Card,5.0,0,96.86
249,3231,592,Clothing,45.68,4,2022-01-05,Canada,COD,5.0,0,182.72
250,3278,282,Electronics,66.73,4,2021-05-31,USA,UPI,4.0,0,266.92
251,1914,751,Electronics,71.54,2,2023-03-08,UK,COD,3.0,0,143.08
252,1265,621,Electronics,70.96,4,2024-04-27,Australia,UPI,1.0,0,283.84
253,2993,529,Books,112.41,1,2022-11-20,USA,COD,5.0,0,112.41
254,1269,575,Clothing,80.54,1,2023-07-27,Germany,Debit Card,2.0,1,80.54
255,4413,716,Clothing,93.36,3,2021-08-27,Canada,UPI,2.0,0,280.08
256,3049,246,Home,113.5,3,2021-08-07,UK,Debit Card,4.0,0,340.5
257,2311,643,Clothing,68.17,4,2024-02-17,Germany,UPI,4.0,0,272.68
258,1910,542,Electronics,30.78,4,2022-07-07,India,COD,,0,123.12
259,3256,329,Clothing,127.77,4,2022-08-16,Australia,UPI,4.0,0,511.08
260,1560,665,Clothing,98.52,1,2024-09-27,Germany,UPI,4.0,0,98.52
261,4737,568,Electronics,179.65,1,2024-02-05,USA,UPI,3.0,0,179.65
262,4569,493,Home,73.35,5,2022-06-03,USA,Debit Card,5.0,0,366.75
263,2006,346,Clothing,13.88,2,2023-07-14,India,Debit Card,2.0,0,27.76
264,2185,484,Home,20.73,2,2021-06-13,India,UPI,1.0,0,41.46
265,3005,485,Books,106.98,2,2021-09-08,USA,PayPal,5.0,0,213.96
266,4027,790,Sports,25.64,1,2022-05-23,Canada,PayPal,4.0,0,25.64
267,3303,599,Clothing,11.85,2,2024-01-04,Canada,COD,2.0,0,23.7
268,4410,554,Home,17.67,4,2021-08-07,Germany,PayPal,1.0,0,70.68
269,3624,754,Home,67.76,4,2024-08-31,USA,Credit Card,4.0,0,271.04
270,3509,483,Books,57.3,3,2021-07-04,India,COD,5.0,0,171.9
271,2850,780,Clothing,119.29,3,2023-12-04,Australia,UPI,3.0,0,357.87
272,4338,653,Home,51.42,3,2024-03-23,Australia,UPI,2.0,0,154.26
273,3046,701,Electronics,22.11,4,2022-09-01,UK,PayPal,4.0,0,88.44
274,2460,261,Home,14.09,1,2023-05-23,India,Debit Card,,0,14.09
275,4578,536,Electronics,16.37,1,2022-10-07,USA,COD,2.0,0,16.37
276,3587,246,Sports,23.35,1,2022-01-08,Canada,UPI,5.0,0,23.35
277,1156,743,Sports,32.96,3,2022-08-21,Canada,Debit Card,2.0,0,98.88
278,4080,794,Electronics,117.82,1,2024-03-23,Australia,Debit Card,4.0,0,117.82
279,4831,764,Beauty,22.3,4,2024-06-10,USA,COD,3.0,0,89.2
280,4553,575,Electronics,42.28,4,2023-11-02,UK,PayPal,2.0,0,169.12
281,3660,358,Beauty,39.12,4,2022-09-09,USA,PayPal,5.0,0,156.48
282,3476,795,Sports,138.72,4,2022-07-11,Canada,Debit Card,4.0,0,554.88
283,2790,346,Beauty,37.95,4,2022-09-30,USA,PayPal,4.0,0,151.8
284,3870,244,Beauty,148.71,2,2021-04-12,Germany,Debit Card,2.0,0,297.42
285,4370,509,Clothing,21.52,5,2021-02-25,India,COD,3.0,0,107.6
286,2372,367,Home,153.92,1,2023-04-13,USA,Debit Card,5.0,0,153.92
287,3567,296,Sports,62.44,1,2024-09-12,India,COD,,0,62.44
288,3801,765,Clothing,81.48,5,2023-01-01,Germany,COD,,0,407.4
289,3191,725,Books,104.53,4,2021-11-19,India,PayPal,5.0,0,418.12
290,2664,362,Beauty,46.41,3,2021-08-23,UK,PayPal,4.0,0,139.23
291,4282,429,Books,267.24,5,2023-01-23,Canada,PayPal,4.0,0,1336.2
292,2255,422,Electronics,23.82,5,2024-04-19,Germany,PayPal,4.0,0,119.1
293,4052,443,Beauty,116.13,3,2023-11-09,Germany,UPI,4.0,0,348.39
294,4760,533,Books,87.08,1,2023-01-08,UK,COD,4.0,0,87.08
295,4520,493,Beauty,104.34,1,2022-02-12,UK,COD,,0,104.34
296,4116,446,Sports,100.04,5,2022-04-12,Canada,COD,1.0,0,500.2
297,3569,532,Electronics,68.3,5,2024-06-30,USA,Credit Card,1.0,0,341.5
298,4886,410,Home,97.43,2,2024-06-23,India,PayPal,5.0,1,194.86
299,3488,731,Home,44.25,4,2022-11-04,Germany,Credit Card,3.0,0,177.0
300,1994,526,Clothing,53.38,5,2024-06-29,USA,UPI,4.0,1,266.9
301,1176,498,Electronics,22.71,3,2022-07-10,UK,COD,5.0,0,68.13
302,3687,454,Sports,105.67,4,2023-01-04,India,COD,4.0,0,422.68
303,2451,460,Home,46.46,2,2022-03-18,India,PayPal,5.0,0,92.92
304,4589,798,Clothing,46.63,5,2023-10-24,India,UPI,5.0,0,233.15
305,1917,257,Clothing,97.86,2,2023-03-19,UK,Debit Card,1.0,0,195.72
306,3192,672,Books,77.02,5,2023-07-20,Germany,UPI,4.0,0,385.1
307,3025,434,Electronics,223.5,2,2021-04-28,India,COD,,0,447.0
308,1011,284,Sports,230.83,5,2023-09-09,Germany,COD,5.0,0,1154.15
309,4946,379,Beauty,115.62,4,2022-11-09,USA,PayPal,3.0,0,462.48
310,4232,587,Electronics,71.05,5,2023-06-11,Australia,UPI,3.0,0,355.25
311,1808,247,Books,27.79,2,2024-03-20,Canada,Debit Card,4.0,0,55.58
312,2572,685,Sports,97.56,4,2023-11-09,Germany,UPI,3.0,0,390.24
313,1069,337,Sports,54.1,3,2023-04-20,Australia,PayPal,4.0,0,162.3
314,2948,708,Home,50.17,5,2021-01-01,UK,UPI,4.0,0,250.85
315,4435,272,Home,42.23,4,2023-12-04,USA,COD,,0,168.92
316,4677,287,Clothing,27.31,2,2021-01-20,Germany,Credit Card,2.0,0,54.62
317,3097,261,Clothing,126.03,1,2023-09-15,Australia,PayPal,4.0,0,126.03
318,4901,544,Beauty,31.27,2,2022-11-26,Australia,Credit Card,3.0,0,62.54
319,1366,570,Clothing,75.29,1,2023-04-26,Canada,Debit Card,5.0,0,75.29
320,3538,721,Books,10.54,3,2022-09-17,India,PayPal,5.0,0,31.62
321,3484,597,Books,129.71,1,2024-01-17,Australia,PayPal,4.0,0,129.71
322,3032,398,Clothing,28.43,2,2022-10-09,Australia,Credit Card,5.0,0,56.86
323,4807,580,Sports,30.25,5,2023-03-15,Australia,PayPal,1.0,0,151.25
324,1647,441,Beauty,32.51,3,2021-01-29,UK,Credit Card,5.0,0,97.53
325,3140,275,Home,7.5,4,2023-04-16,India,COD,3.0,1,30.0
326,2519,531,Electronics,77.99,5,2023-05-18,Germany,Credit Card,3.0,0,389.95
327,2850,537,Home,170.99,4,2021-01-03,USA,PayPal,3.0,0,683.96
328,3738,497,Beauty,56.78,3,2022-02-10,Canada,PayPal,4.0,0,170.34
329,4760,426,Home,125.08,1,2021-12-28,India,UPI,5.0,0,125.08
330,3894,286,Sports,31.46,5,2024-01-03,UK,Debit Card,2.0,0,157.3
331,1559,535,Electronics,221.9,5,2022-05-12,USA,Debit Card,5.0,0,1109.5
